Curso;Grau;Redação;Natureza;Humanas;Linguagens;Matemática
ADMINISTRAÇÃO;Bacharelado;2.50 ;1.00 ;2.00 ;2.00 ;2.50 
ARTES VISUAIS;Licenciatura;3.00 ;1.00 ;3.00 ;2.00 ;1.00 
ASTRONOMIA;Bacharelado;2.00 ;2.00 ;1.00 ;2.00 ;3.00 
BIBLIOTECONOMIA E DOCUMENTAÇÃO;Bacharelado;3.00 ;1.00 ;2.00 ;2.50 ;1.50 
CINEMA E AUDIOVISUAL;Bacharelado;3.00 ;1.00 ;3.00 ;2.00 ;1.00 
CIÊNCIA DA COMPUTAÇÃO;Bacharelado;2.50 ;1.50 ;1.00 ;1.50 ;3.50 
CIÊNCIAS ATUARIAIS;Bacharelado;2.50 ;1.00 ;1.50 ;1.50 ;3.50 
CIÊNCIAS BIOLÓGICAS;Bacharelado;3.00 ;3.00 ;1.00 ;2.00 ;1.00 
CIÊNCIAS BIOLÓGICAS;Licenciatura;3.00 ;3.00 ;1.00 ;2.00 ;1.00 
CIÊNCIAS CONTÁBEIS;Licenciatura;2.50 ;1.00 ;1.50 ;2.50 ;2.50 
CIÊNCIAS DA RELIGIÃO;Bacharelado;2.00 ;1.00 ;3.00 ;3.00 ;1.00 
CIÊNCIAS ECONÔMICAS;Licenciatura;2.00 ;1.00 ;2.00 ;2.00 ;3.00 
CIÊNCIAS ECONÔMICAS;Bacharelado;2.00 ;1.00 ;2.00 ;2.00 ;3.00 
CIÊNCIAS SOCIAIS;Bacharelado;2.00 ;1.00 ;3.00 ;3.00 ;1.00 
DESIGN;Bacharelado;3.00 ;1.00 ;2.50 ;2.00 ;1.50 
DIREITO;Bacharelado;3.00 ;1.00 ;2.00 ;2.50 ;1.50 
ECOLOGIA;Bacharelado;2.50 ;3.50 ;1.00 ;1.50 ;1.50 
EDUCAÇÃO FÍSICA;Bacharelado;2.00 ;3.00 ;1.50 ;2.00 ;1.50 
ENGENHARIA AGRONÔMICA;Licenciatura;2.00 ;3.00 ;1.00 ;1.00 ;3.00 
ENGENHARIA AGRÍCOLA;Bacharelado;2.00 ;3.00 ;1.00 ;1.00 ;3.00 
ENGENHARIA AMBIENTAL E SANITÁRIA;Bacharelado;2.50 ;2.00 ;1.00 ;1.50 ;3.00 
ENGENHARIA CIVIL;Bacharelado;2.00 ;2.00 ;1.00 ;2.00 ;3.00 
ENGENHARIA DE ALIMENTOS;Bacharelado;2.00 ;2.00 ;1.00 ;2.00 ;3.00 
ENGENHARIA DE COMPUTAÇÃO;Bacharelado;2.50 ;1.50 ;1.00 ;1.50 ;3.50 
ENGENHARIA DE MATERIAIS;Bacharelado;2.00 ;3.00 ;1.00 ;1.00 ;3.00 
ENGENHARIA DE PESCA;Bacharelado;2.00 ;3.00 ;1.00 ;1.50 ;2.50 
ENGENHARIA DE PETRÓLEO;Bacharelado;2.50 ;2.00 ;1.00 ;1.50 ;3.00 
ENGENHARIA DE PRODUÇÃO;Bacharelado;2.50 ;2.00 ;1.50 ;2.00 ;2.00 
ENGENHARIA ELETRÔNICA;Bacharelado;3.00 ;1.00 ;1.00 ;2.00 ;3.00 
ENGENHARIA ELÉTRICA;Bacharelado;3.00 ;1.00 ;1.00 ;2.00 ;3.00 
ENGENHARIA FLORESTAL;Bacharelado;2.00 ;3.00 ;1.00 ;1.00 ;3.00 
ENGENHARIA MECÂNICA;Bacharelado;2.00 ;3.00 ;1.00 ;1.00 ;3.00 
ENGENHARIA QUÍMICA;Bacharelado;2.00 ;2.50 ;1.00 ;1.50 ;3.00 
ESTATÍSTICA;Bacharelado;2.00 ;1.00 ;1.00 ;2.00 ;4.00 
FARMÁCIA;Bacharelado;2.00 ;3.50 ;1.00 ;1.50 ;2.00 
FILOSOFIA;Bacharelado;3.50 ;1.50 ;1.50 ;2.00 ;1.50 
FÍSICA;Licenciatura;2.00 ;2.00 ;1.00 ;2.00 ;3.00 
